village,beat_officer,sector_officer,beat_constable,population,caste,sarpanch,school
Lanji,SI Sundarlal Pawar,ASI Mahesh Bisen,HC Dhanlal Lilhare,1000,st,mohan,Govt. school
Bisoni,SI Sundarlal Pawar,ASI Mahesh Bisen,HC Dhanlal Lilhare,1000,st,mohan,Govt. school
Katangi,SI Sundarlal Pawar,ASI Mahesh Bisen,HC Dhanlal Lilhare,1000,st,mohan,Govt. school
Rampura,SI Sundarlal Pawar,ASI Mahesh Bisen,HC Dhanlal Lilhare,1000,st,mohan,Govt. school
Sogalpur,SI Sundarlal Pawar,ASI Mahesh Bisen,HC Dhanlal Lilhare,1000,st,mohan,Govt. school
Manpur,SI Sundarlal Pawar,ASI Mahesh Bisen,HC Narendra Sonve,1500,gen,sohan,Govt. school
Tekri,SI Sundarlal Pawar,ASI Mahesh Bisen,HC Narendra Sonve,1501,gen,sohan,Govt. school
Thanegaon,SI Sundarlal Pawar,ASI Mahesh Bisen,HC Narendra Sonve,1502,gen,sohan,Govt. school
Purvatola,SI Sundarlal Pawar,ASI Mahesh Bisen,HC Narendra Sonve,1503,gen,sohan,Govt. school
Khandafari,SI Sundarlal Pawar,ASI Mahesh Bisen,HC Narendra Sonve,1504,gen,sohan,Govt. school
dulhapur,SI Sundarlal Pawar,ASI Topsingh Uikey,Mohshin Khan,1504,gen,sohan,Govt. school
Satitola,SI Sundarlal Pawar,ASI Topsingh Uikey,Mohshin Khan,1504,gen,sohan,Govt. school
chichtola,SI Sundarlal Pawar,ASI Topsingh Uikey,Mohshin Khan,1504,gen,sohan,Govt. school
Saheki,SI Sundarlal Pawar,ASI Topsingh Uikey,Mohshin Khan,1505,gen,sohan,Govt. school
Bagdi,SI Sundarlal Pawar,ASI Topsingh Uikey,Mohshin Khan,1506,gen,sohan,Govt. school
Peepalgaon khurd,SI Sundarlal Pawar,ASI Topsingh Uikey,Surendra Panche,1506,gen,sohan,Govt. school
Pouni,SI Sundarlal Pawar,ASI Topsingh Uikey,Surendra Panche,1507,gen,sohan,Govt. school
Kosmara,SI Sundarlal Pawar,ASI Topsingh Uikey,Surendra Panche,1508,gen,sohan,Govt. school
Kholmara,SI Sundarlal Pawar,ASI Topsingh Uikey,Surendra Panche,1509,gen,sohan,Govt. school
Kosamdehi,SI Sundarlal Pawar,ASI Topsingh Uikey,Surendra Panche,1510,gen,sohan,Govt. school
Kashitola,SI Sundarlal Pawar,ASI Topsingh Uikey,Nemichand Sepat,1510,gen,sohan,Govt. school
Bakramundi,SI Sundarlal Pawar,ASI Topsingh Uikey,Nemichand Sepat,1511,gen,sohan,Govt. school
Neemtola,SI Sundarlal Pawar,ASI Topsingh Uikey,Nemichand Sepat,1512,gen,sohan,Govt. school
Kalimati,SI Sundarlal Pawar,ASI Topsingh Uikey,Nemichand Sepat,1513,gen,sohan,Govt. school
Paldongri,SI Vidhi Pandey,ASI Mahesh Turakne,HC Pawan Marskole,1513,gen,sohan,Govt. school
Ameda,SI Vidhi Pandey,ASI Mahesh Turakne,HC Pawan Marskole,1514,gen,sohan,Govt. school
Sadra,SI Vidhi Pandey,ASI Mahesh Turakne,HC Pawan Marskole,1515,gen,sohan,Govt. school
Borikhurd,SI Vidhi Pandey,ASI Mahesh Turakne,HC Pawan Marskole,1516,gen,sohan,Govt. school
Fofsa,SI Vidhi Pandey,ASI Mahesh Turakne,Anil Jaat,1516,gen,sohan,Govt. school
Siregaon,SI Vidhi Pandey,ASI Mahesh Turakne,Anil Jaat,1517,gen,sohan,Govt. school
Ladsa,SI Vidhi Pandey,ASI Mahesh Turakne,Anil Jaat,1518,gen,sohan,Govt. school
Jivnara,SI Vidhi Pandey,ASI Mahesh Turakne,Manohar Jhadekar,1518,gen,sohan,Govt. school
Dahegaon,SI Vidhi Pandey,ASI Mahesh Turakne,Manohar Jhadekar,1519,gen,sohan,Govt. school
Keregaon,SI Vidhi Pandey,ASI Mahesh Turakne,Manohar Jhadekar,1520,gen,sohan,Govt. school
Kharegaon,SI Vidhi Pandey,ASI Mahesh Turakne,Manohar Jhadekar,1521,gen,sohan,Govt. school
Kareja,SI Vidhi Pandey,ASI Mahesh Turakne,Manohar Jhadekar,1522,gen,sohan,Govt. school
Devalgaon,SI Vidhi Pandey,ASI Mahesh Turakne,Manohar Jhadekar,1523,gen,sohan,Govt. school
Kumhari khurd,SI Vidhi Pandey,ASI Pramod Bagri,Vijay Sisodiya,1523,gen,sohan,Govt. school
Kumhari kala,SI Vidhi Pandey,ASI Pramod Bagri,Vijay Sisodiya,1524,gen,sohan,Govt. school
Singola,SI Vidhi Pandey,ASI Pramod Bagri,Vijay Sisodiya,1525,gen,sohan,Govt. school
Dighori,SI Vidhi Pandey,ASI Pramod Bagri,Vijay Sisodiya,1526,gen,sohan,Govt. school
